"","Cam_SD","cam_nights","num_detections","CHIPMUNK","COYOTE","DEERWHITETAILED","FISHER","OTHERSMALLMAMMAL","RACCOON","SQUIRRELRED","SQUIRRELGRAY","BOBCAT","PORCUPINE","WEASEL","FOXRED","BLACKBEAR","SKUNKSTRIPED","SQUIRRELFLYING","OPOSSUM","SNOWSHOEHARE","RIVEROTTER","MINK"
"1","C1 - SD23",51,24,15.6862745098039,5.88235294117647,23.5294117647059,5.88235294117647,1.96078431372549,1.96078431372549,1.96078431372549,0,0,0,0,0,0,0,0,0,0,0,0
"2","C10 - SD25",88,3,0,0,3.40909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","C10 - SD35",59,6,3.38983050847458,0,3.38983050847458,0,5.08474576271187,1.69491525423729,0,5.08474576271187,0,0,0,0,0,0,0,0,0,0,0
"4","C11 - SD13",109,56,0,0,6.42201834862385,0.917431192660551,0.917431192660551,0,0,34.8623853211009,0.917431192660551,9.1743119266055,0.917431192660551,0,0,0,0,0,0,0,0
"5","C14 - SD17",111,66,0,0,17.1171171171171,0.900900900900901,0,39.6396396396396,0,0,0,1.8018018018018,0,0,0,0,0,0,0,0,0
"6","C14 - SD22",74,25,0,1.35135135135135,29.7297297297297,0,0,2.7027027027027,0,0,0,1.35135135135135,0,2.7027027027027,0,0,0,0,0,0,0
"7","C14 - SD25",50,3,0,0,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
"8","C14 - SD5",53,6,0,0,3.77358490566038,1.88679245283019,0,0,0,0,0,0,0,5.66037735849057,0,0,0,0,0,0,0
"9","C15 - SD14",73,66,0,2.73972602739726,87.6712328767123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","C15 - SD16",113,59,5.30973451327434,0,12.3893805309735,0,3.53982300884956,18.5840707964602,0,9.73451327433628,0,1.76991150442478,0.884955752212389,1.76991150442478,0,0,0,0,0,0,0
"11","C15 - SD35",98,10,0,0,7.14285714285714,2.04081632653061,0,0,0,0,0,1.02040816326531,0,0,0,0,0,0,0,0,0
"12","C15 - SD6",78,203,1.28205128205128,2.56410256410256,180.769230769231,3.84615384615385,0,0,0,62.8205128205128,1.28205128205128,8.97435897435897,0,0,2.56410256410256,0,0,0,0,0,0
"13","C17 - SD24",107,73,0,0,42.0560747663551,0,0,1.86915887850467,0.934579439252336,23.3644859813084,0,0,0,0,0,0,0,0,0,0,0
"14","C17 - SD26",49,26,2.04081632653061,0,14.2857142857143,4.08163265306122,0,8.16326530612245,2.04081632653061,0,0,24.4897959183673,0,2.04081632653061,0,2.04081632653061,2.04081632653061,0,0,0,0
"15","C17 - SD8",68,26,0,1.47058823529412,19.1176470588235,4.41176470588235,0,2.94117647058824,0,10.2941176470588,1.47058823529412,4.41176470588235,0,0,1.47058823529412,0,0,0,0,0,0
"16","C18 - SD16",37,20,0,2.7027027027027,35.1351351351351,5.40540540540541,0,10.8108108108108,0,0,0,0,0,0,0,0,0,0,0,0,0
